"astro-ph/0012040","Alexander Kusenko","Alexander Kusenko and Vadim A. Kuzmin","Possible galactic sources of ultrahigh-energy cosmic rays and a strategy
  for their detection via gravitational lensing","3 pages, one figure; references added","Pisma Zh.Eksp.Teor.Fiz.73:503,2001; JETP Lett.73:443-445,2001","10.1134/1.1385653","UCLA/00/TEP/28, BNL-HET-00/43","astro-ph hep-ph",,"  If decays of superheavy relic particles in the galactic halo are responsible
for ultrahigh-energy cosmic rays, these particles must be clustered to account
for small-scale anisotropy in the AGASA data. We show that the masses of such
clusters are large enough for them to gravitationally lens stars and galaxies
in the background. We propose a general strategy that can be used to detect
such clusters via gravitational lensing, or to rule out the hypothesis of
decaying relic particles as the origin of highest-energy cosmic rays.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 23:50:20 GMT""},{""version"":""v2"",""created"":""Thu, 12 Apr 2001 23:39:19 GMT""}]","2014-10-13"
"astro-ph/0012088","Ryszard Manka","R. Manka, M. Zastawny-Kubica, A. Brzezina and I. Bednarek (Uniwersity
  of Silesia, Poland.)","Protoneutron star in the Relativistic Mean - Field Theory","21 pages, iop latex2e, 18 colour figures, submitted to Journal of
  Physics G: Nuclear and Particle",,"10.1088/0954-3899/27/9/304","USl-Astro-2000-6","astro-ph",,"  In this review the basic properties of nonrotating and slowly rotating
protoneutron stars in the relativistic mean-field approach are discussed. The
equation of state is the main input to the structure equations. The TM1
parameter set extended to the case of finite temperature is used to obtain the
mass-radius relation for protoneutron stars. The occurrence of unstable areas
in the mass-radius relation are presented. This allows for the existence of
distinctively different evolutionary of tracks of the protoneutron stars. The
low density protoneutron star configurations are estimated. The obtained stable
configurations for the fixed lepton number Y_L=0.4 are compared with ones
obtained for the fixed proton fraction Y_P=0.1776.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 00:52:38 GMT""}]","2009-10-31"
"astro-ph/0012089","Andrea M. Gilbert","Andrea M. Gilbert and James R. Graham (UC Berkeley)","Near-IR Spectroscopy and Population Synthesis of Super Star Clusters in
  NGC 1569","6 pages, 4 figures, uses physprbb.sty. To appear in proceedings of
  Starburst Galaxies: Near & Far, Ringberg Castle, Germany, 10-15 Sept. 2000",,,,"astro-ph",,"  We present H- and K-band NIRSPEC spectroscopy of super star clusters (SSCs)
in the irregular starburst galaxy NGC 1569, obtained at the Keck Observatory.
We fit these photospheric spectra to NextGen model atmospheres to obtain
effective spectral types of clusters, and find that the information in both H-
and K-band spectra is necessary to remove degeneracy in the fits. The light of
SSC B is unambiguously dominated by K0 supergiants (T_eff=4400 +- 100 K, log
g=0.5 +- 0.5). The double cluster SSC A has higher T_eff (G5) and less tightly
constrained surface gravity (log g=1.3 +- 1.3), consistent with a mixed stellar
population dominated by blue Wolf-Rayet stars and red supergiants. We predict
the time evolution of infrared spectra of SSCs using Starburst99 population
synthesis models coupled with empirical stellar spectral libraries (at solar
metallicity). The resulting model sequence allows us to assign ages of 15-18
Myr for SSC B and 18-21 Myr for SSC A.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 00:57:19 GMT""}]","2007-05-23"
"astro-ph/0012090","Pieter van Dokkum","P. G. van Dokkum, M. Franx, D. D. Kelson, G. D. Illingworth, D.
  Fabricant","Evolution of Cluster Early-Type Galaxies","6 pages, 4 figures. To appear in proceedings of ""Deep Fields"" meeting
  (Garching, October 2000)",,,,"astro-ph",,"  The slow evolution of the M/L ratios, colors, and line strengths of cluster
early-type galaxies to z=1 suggests that their stars were formed at very high
redshift. At the same time, morphological studies of distant clusters indicate
significant evolution in the early-type galaxy population. Striking evidence
for strong morphological evolution in clusters is the discovery of a large
number of red merger systems in the cluster MS 1054-03 at z=0.83. The presence
of these mergers is qualitatively consistent with predictions from hierarchical
galaxy formation models, and is direct evidence against an early collapse for
all early-type galaxies. In most of the mergers there is no evidence for strong
star formation. Therefore the mean stellar ages of the merger products will be
much older than the ``assembly age'', and do not violate the constraints on the
star formation epoch of early-type galaxies imposed by the color-magnitude
relation and the Fundamental Plane.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 01:24:39 GMT""}]","2007-05-23"
"astro-ph/0012091","Daniel Reichart","Daniel E. Reichart (Caltech)","Light Curves and Spectra of Dust Echoes From Gamma-Ray Bursts and their
  Afterglows: Continued Evidence that GRB 970228 is Associated with a Supernova","Accepted to The Astrophysical Journal, 32 pages, 14 figures, LaTeX",,"10.1086/321428",,"astro-ph",,"  The relative brightening and reddening of the optical afterglows of GRB
970228 and GRB 980326 around 20 - 30 days after these bursts have been
attributed to supernovae, which are red (blueward of their spectral peak), and
which peak in time after about 20(1+z) days. However, this direct evidence for
a GRB/SN connection has recently been challenged. It has been suggested that
the late afterglows of these bursts can be explained by dust echoes, of which
we consider two cases: (1) the scattering of light from the afterglow (the
forward shock), the optical flash (the reverse shock), and/or optical light
from the burst itself by a shell of dust at a radius R from the progenitor, and
(2) the absorption and thermal re-emission of this light by this shell of dust.
In this paper, we model and compute dust echo light curves and spectra for both
cases. Although the late-time afterglow of GRB 980326 was not sufficiently well
sampled to rule out a dust echo description, we find that the late-time
afterglow of GRB 970228 cannot be explained by a dust echo.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 02:35:41 GMT""},{""version"":""v2"",""created"":""Fri, 19 Jan 2001 21:50:42 GMT""}]","2009-10-31"
"astro-ph/0012092","Tomohiro Sensui","T. Sensui, Y. Funato, J. Makino (Univ. Tokyo)","Evolution of Clusters of Galaxies II: Dependence on Initial Cluster
  Model","12 pages with 22 figures, submitted to PASJ",,,,"astro-ph",,"  We investigated the evolution of clusters of galaxies using self-consistent
N-body simulations. We varied the initial model of galaxies and clusters, and
studied the dependence of evolution on initial conditions. We found that the
growth rate of the common halo depends only weakly on galaxy models. On the
other hand, the growth rate depends strongly on cluster models. Initially the
growth rate is higher for cluster models with higher central density. However,
this high growth rate drops in a few crossing times of the cluster, and after
several crossing times, roughly half of the total mass is in the common halo in
all models we considered. In the central region of clusters density cusps with
the profile \rho ~ r^{-1.2} develops regardless of the models of clusters and
galaxies. We also found that the galaxies evolved so as to satisfy the relation
between the masses of galaxies m_{gx} and their velocity dispersion \sigma_{gx}
expressed as m_{gx} \propto \sigma_{gx}^{3~4} for all galaxy models as a
consequence of their dynamical evolution through galaxy-galaxy interactions. We
discuss the relation between our result and the observed Faber-Jackson
relation.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 06:25:59 GMT""}]","2016-08-30"
"astro-ph/0012093","Arnold Benz","Arnold O. Benz, Peter Messmer and Christian Monstein (Institute of
  Astronomy, ETH Zurich)","High-sensitivity observations of solar flare decimeter radiation","Astronomy and Astrophysics, in press",,"10.1051/0004-6361:20000221",,"astro-ph",,"  A new acousto-optic radio spectrometer has observed the 1 - 2 GHz radio
emission of solar flares with unprecedented sensitivity. The number of detected
decimeter type III bursts is greatly enhanced compared to observations by
conventional spectrometers observing only one frequency at the time. The
observations indicate a large number of electron beams propagating in dense
plasmas. For the first time, we report weak, reversed drifting type III bursts
at frequencies above simultaneous narrowband decimeter spikes. The type III
bursts are reliable signatures of electron beams propagating downward in the
corona, apparently away from the source of the spikes. The observations
contradict the most popular spike model that places the spike sources at the
footpoints of loops. Conspicuous also was an apparent bidirectional type U
burst forming a fish-like pattern. It occurs simultaneously with an intense
U-burst at 600-370 MHz observed in Tremsdorf. We suggest that it intermodulated
with strong terrestrial interference (cellular phones) causing a spurious
symmetric pattern in the spectrogram at 1.4 GHz. Symmetric features in the 1 -
2 GHz range, some already reported in the literature, therefore must be
considered with utmost caution.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 08:50:52 GMT""}]","2009-10-31"
"astro-ph/0012095","Derek Ward-Thompson","N. E. Jessop and D. Ward-Thompson","The initial conditions of isolated star formation: IV - C18O
  observations and modelling of the pre-stellar core L1689B","10 pages. Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 323 (2001) 1025","10.1046/j.1365-8711.2001.04289.x",,"astro-ph",,"  We present C18O observations of the pre-stellar core L1689B, in the (J=3-2)
and (J=2-1) rotational transitions, taken at the James Clerk Maxwell Telescope
in Hawaii. We use a lambda-iteration radiative transfer code to model the data.
We adopt a similar form of radial density profile to that which we have found
in all pre-stellar cores, with a `flat' inner profile, steepening towards the
edge, but we make the gradient of the `flat' region a free parameter. We find
that the core is close to virial equilibrium, but there is tentative evidence
for core contraction. We allow the temperature to vary with a power-law form
and find we can consistently fit all of the CO data with an inverse temperature
gradient that is warmer at the edge than the centre. However, when we combine
the CO data with the previously published millimetre data we fail to find a
simultaneous fit to both data-sets without additionally allowing the CO
abundance to decrease towards the centre. This effect has been observed
qualitatively many times before, as the CO freezes out onto the dust grains at
high densities, but we quantify the effect. Hence we show that the combination
of mm/submm continuum and spectral line data is a very powerful method of
constraining the physical parameters of cores on the verge of forming stars.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 10:02:11 GMT""}]","2015-06-24"
"astro-ph/0012096","Almudena Alonso-Herrero","A. Alonso-Herrero (1), A. C. Quillen (2), C. Simpson (3), A.
  Efstathiou (4), and M. J. Ward (5) ((1) U. of Hertfordshire (2) Steward
  Observatory (3) Subaru Telescope (4) Imperial College (5) U. of Leicester)","The non-stellar infrared continuum of Seyfert galaxies","Accepted for publication in AJ, March 2001 issue",,"10.1086/319410",,"astro-ph",,"  JHKL'M (1-5 micron) imaging of a sample of Seyfert (Sy) 2 galaxies is
presented. We confirm that the 1-2.2 micron nuclear continuum of some Sy 2s is
dominated by stellar emission, whereas the continuum emission at longer
wavelengths (3-5 micron) is almost entirely non-stellar in origin. The IR
non-stellar spectral energy distributions (SED) (up to 15 micron) of Sy
galaxies show a variety of shapes, and they are well reproduced with the
tapered disk models of Efstathiou & Rowan-Robinson (1995). We have used two
models, one including an optically thin cone component and a coneless model.
Although our modelling of the SEDs does not allow us to favor either model to
account for all the observed SEDs, we find that the viewing angle towards the
central source is well constrained by both models. We have also investigated
non-stellar color-color diagrams. The colors of the Sy galaxies with viewing
angles theta < 30 degree are better reproduced with the cone model. These
diagrams provide a good means to separate Sy 2s with moderate obscuration (A_V
< 20 mag, from hard X-ray observations) from those with high obscuration. The
ground-based 4.8 micron and ISO 9.6 micron luminosities are well correlated
with the hard X-ray luminosities of Sy 1s and 2s. These continuum emissions
appear as a good indicator of the AGN luminosity, at least in the cases of hard
X-ray Compton-thin Sy galaxies. We finally stress the finding that some Compton
thick galaxies show bright non-stellar emission at 5 micron. This suggests that
the near-IR emission in Sys is produced in an extended component illuminated by
the central source, that is more visible from all viewing angles. We discuss
possible implications of mid-IR surveys for the search of counterparts of
highly obscured hard X-ray sources. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 10:54:36 GMT""}]","2009-10-31"
"astro-ph/0012097","Sylos-Labini Francesco","A. Gabrielli and F. Sylos Labini","Fluctuations in galaxy counts: a new test for homogeneity versus
  fractality","7 pages, corrected to match the published version","Europhys.Lett. vol. 54, issue 3, 1 May 2001","10.1209/epl/i2001-00239-3",,"astro-ph cond-mat",,"  Fractal properties are usually characterized by means of various statistical
tools which deal with spatial average quantities. Here we focus on the
determination of fluctuations around the average counts and we develop a test
for the study of galaxy distribution both in redshift and magnitude space.
Fluctuations in the counts of galaxies, in a fractal distribution, are of the
same order of the average number at all scales as a function of redshift and
magnitude. We point out that the study of these kind of fluctuations can be a
powerful test to understand the nature of galaxy clustering at very large
scales.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 12:31:55 GMT""},{""version"":""v2"",""created"":""Wed, 11 Apr 2001 08:51:19 GMT""}]","2009-10-31"
"astro-ph/0012098","Aylwyn Scally","Aylwyn Scally and Cathie Clarke (Institute of Astronomy, Cambridge,
  UK)","Destruction of protoplanetary disks in the Orion Nebula Cluster","9 pages, 9 figures, to be published in MNRAS","Mon.Not.Roy.Astron.Soc. 325 (2001) 449","10.1046/j.1365-8711.2001.04274.x",,"astro-ph",,"  We use numerical N-body simulations of the Orion Nebula Cluster (ONC) to
investigate the destruction of protoplanetary disks by close stellar encounters
and UV radiation from massive stars. The simulations model a cluster of 4000
stars, and we consider separately cases in which the disks have fixed radii of
100 AU and 10 AU. In the former case, depending on a star's position and orbit
in the cluster over 10^7 years, UV photoevaporation removes at least 0.01 Msol
from its disk, and can remove up to 1 Msol. We find no dynamical models of the
ONC consistent with the suggestion of Storzer and Hollenbach that the observed
distribution and abundance of proplyds could be explained by a population of
stars on radial orbits which spend relatively little time near Theta 1C Ori
(the most massive star in the ONC). Instead the observations require either
massive disks (e.g. a typical initial disk mass of 0.4 Msol) or a very recent
birth for Theta 1C Ori. When we consider the photoevaporation of the inner 10
AU of disks in the ONC, we find that planet formation would be hardly affected.
Outside that region, planets would be prevented from forming in about half the
systems, unless either the initial disk masses were very high or they formed in
less than ~ 2 Myr and Theta 1C Ori has only very recently appeared. We also
present statistics on the distribution of minimum stellar encounter
separations. This peaks at 1000 AU, with less than 10% of stars having had an
encounter closer than 100 AU after 10^7 years. We conclude that stellar
encounters are unlikely to play a significant role in destroying protoplanetary
disks. In the absence of any disruption mechanism other than those considered
here, we would thus predict planetary systems like our own to be common amongst
stars forming in ONC-like environments.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 12:52:41 GMT""}]","2016-08-30"
