"astro-ph/0012419","Michael T. Murphy","M. T. Murphy (UNSW), J. K. Webb (UNSW), V. V. Flambaum (UNSW), V. A.
  Dzuba (UNSW), C. W. Churchill (PSU), J. X. Prochaska (OCIW), J. D. Barrow
  (DAMTP), A. M. Wolfe (UCSD)","Possible evidence for a variable fine structure constant from QSO
  absorption lines: motivations, analysis and results","17 pages, 3 figures, MNRAS in press, corrected small typos and added
  an acknowledgment","Mon.Not.Roy.Astron.Soc.327:1208,2001","10.1046/j.1365-8711.2001.04840.x",,"astro-ph gr-qc hep-th nucl-th physics.atom-ph",,"  An experimental search for variation in the fundamental coupling constants is
strongly motivated by modern high-energy physics theories. Comparison of quasar
absorption line spectra with laboratory spectra provides a sensitive probe for
variability of the fine structure constant, alpha, over cosmological
time-scales. We have previously developed and applied a new method providing an
order of magnitude gain in precision over previous optical astrophysical
constraints. Here we extend that work by including new quasar spectra of damped
Lyman-alpha absorption systems. We also re-analyse our previous lower redshift
data and confirm our initial results. The constraints on alpha come from
simultaneous fitting of absorption lines of subsets of the following species:
Mg I, Mg II, Al II, Al III, Si II, Cr II, Fe II, Ni II and Zn II. We present a
detailed description of our methods and results based on an analysis of 49
quasar absorption systems (towards 28 QSOs) covering the redshift range 0.5 < z
< 3.5. There is statistical evidence for a smaller alpha at earlier epochs:
da/a = (-0.72 +/- 0.18) * 10^{-5}. The new and original samples are independent
but separately yield consistent and significant non-zero values of da/a. We
summarise the results of a thorough investigation of systematic effects
published in a companion paper. The value we quote above is the raw value, not
corrected for any of these systematic effects. The only significant systematic
effects so far identified, if removed from our data, would lead to a more
significant deviation of da/a from zero.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:50:04 GMT""},{""version"":""v2"",""created"":""Thu, 28 Dec 2000 22:59:05 GMT""},{""version"":""v3"",""created"":""Fri, 19 Jan 2001 02:18:10 GMT""},{""version"":""v4"",""created"":""Sun, 22 Jul 2001 06:36:20 GMT""},{""version"":""v5"",""created"":""Tue, 4 Sep 2001 06:18:42 GMT""}]","2008-11-26"
"astro-ph/0012447","Hongsong Chou","Hongsong Chou","Numerical Analysis of Magnetic Field Amplification by Turbulence","41 pages, 12 figures, to be published in ApJ (vol. 556)",,"10.1086/321607",,"astro-ph",,"  We apply a Fourier spectral numerical method to 3D incompressible MHD
turbulence with a magnetic Prandtl number $Pr \geq 1$. We examine the processes
by which an initially weak, large-scale seed magnetic field and an initially
weak, small-scale, impulse-like seed magnetic field are amplified. We find that
in both cases the magnetic energy spectrum grows at all scales. The growth
rates at different amplification stages are analyzed. For a large-scale seed
magnetic field, the magnetic energy density grows as $\sim t^2$ for the first
few turbulence eddy turnover times, followed by a dynamic growth stage, where
nonlinear interactions between different scales of the turbulence contribute to
an exponential growth rate that is largely determined by the turbulence eddy
turnover time. For a seed magnetic field that is initially set up at a small
scale in the turbulence, during the kinematic development stage, the growth
rate of magnetic energy is $\propto 1/\tau_{max}$, where $\tau_{max}$ is the
eddy turnover time of the smallest eddies of the turbulence. The kinematic
growth stage is followed by a dynamic growth stage, where nonlinearity plays
important role. During such dynamic growth stage, the growth rate of total
magnetic energy is determined by both the magnetic energy amplification within
the turbulence inertial range and that within the turbulence dissipation range.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 20:09:42 GMT""},{""version"":""v2"",""created"":""Mon, 23 Apr 2001 14:00:11 GMT""}]","2009-10-31"
"astro-ph/0012448","Kirpal Nandra","K. Nandra","X-ray variability of AGN and correlations with spectral properties","12 pages, 6 figures, to appear in Advances in Space Research",,"10.1016/S0273-1177(01)00409-4",,"astro-ph",,"  Rapid flux changes in the X-ray emission from active galactic nuclei are
commonly observed. The power-density spectra show a pseudo power-law form with
a turnover at low frequencies and a high frequency break, similar to galactic
black-hole candidates. There have been a few claims for periodicities but these
are not a well-established property of the class. The amplitude of variability
depends on a number of source parameters, including luminosity and spectral
properties. The variability amplitude is correlated with X-ray spectral index,
and anti-correlated with the width of the permitted optical lines. In one
particularly well-observed case, NGC 7469, we see a relationship between the
X-ray and UV variability, which indicates that the dominant emission process
for the X-rays is thermal Comptonization. Variations in the X-ray emission are
related to changes in the UV seed photons, but it appears there must also be a
mechanism - perhaps that which heats the Comptonizing corona - that induces
rapid variability intrinsic to the X-rays.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 20:54:29 GMT""}]","2009-10-31"
"astro-ph/0012449","Gordon T. Richards","Gordon T. Richards (1 and 2), Xiaohui Fan (3 and 4), Donald P.
  Schneider (1), Daniel E. Vanden Berk (5), Michael A. Strauss (3), Donald G.
  York (2), et al. (the SDSS Collaboration) ((1) Penn State, (2) Chicago, (3)
  Princeton, (4) IAS, (5) Fermilab)","Colors of 2625 Quasars at 0<z<5 Measured in the Sloan Digital Sky Survey
  Photometric System","66 pages, 15 figures (3 color), accepted by AJ","Astron.J.121:2308,2001","10.1086/320392",,"astro-ph",,"  We present an empirical investigation of the colors of quasars in the Sloan
Digital Sky Survey (SDSS) photometric system. The sample studied includes 2625
quasars with SDSS photometry. The quasars are distributed in a 2.5 degree wide
stripe centered on the Celestial Equator covering $\sim529$ square degrees.
Positions and SDSS magnitudes are given for the 898 quasars known prior to SDSS
spectroscopic commissioning. New SDSS quasars represent an increase of over
200% in the number of known quasars in this area of the sky. The ensemble
average of the observed colors of quasars in the SDSS passbands are well
represented by a power-law continuum with $\alpha_{\nu} = -0.5$ ($f_{\nu}
\propto \nu^{\alpha}$). However, the contributions of the $3000 {\rm \AA}$ bump
and other strong emission lines have a significant effect upon the colors. The
color-redshift relation exhibits considerable structure, which may be of use in
determining photometric redshifts for quasars. The range of colors can be
accounted for by a range in the optical spectral index with a distribution
$\alpha_{\nu}=-0.5\pm0.65$ (95% confidence), but there is a red tail in the
distribution. This tail may be a sign of internal reddening. Finally, we show
that there is a continuum of properties between quasars and Seyfert galaxies
and we test the validity of the traditional division between the two classes of
AGN.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:41:36 GMT""}]","2009-09-25"
"astro-ph/0012450","Harold W. Yorke","Gerhard Suttner, Harold W. Yorke","Early dust evolution in protostellar accretion disks","24 pages, 16 figures, to appear in ApJ 550 (2001)",,"10.1086/320061",,"astro-ph",,"  We investigate dust dynamics and evolution during the formation of a
protostellar accretion disk around intermediate mass stars via 2D numerical
simulations. Using three different detailed dust models, compact spherical
particles, fractal BPCA grains, and BCCA grains, we find that even during the
early collapse and the first 10,000 yr of dynamical disk evolution, the initial
dust size distribution is strongly modified. Close to the disk's midplane
coagulation produces dust particles of sizes of several 10 micons (for compact
spherical grains) up to several mm (for fluffy BCCA grains), whereas in the
vicinity of the accretion shock front (located several density scale heights
above the disk), large velocity differences inhibit coagulation. Dust particles
larger than about 1 micron segregate from the smaller grains behind the
accretion shock. Due to the combined effects of coagulation and grain
segregation the infrared dust emission is modified. Throughout the accretion
disk a MRN dust distribution provides a poor description of the general dust
properties. Estimates of the consequences of the ""freezing out"" of molecules in
protostellar disks should consider strongly modified grains. Physical model
parameters such as the limiting sticking strength and the grains' resistivity
against shattering are crucial factors determining the degree of coagulation
reached. In dense regions (e.g. in the mid-plane of the disk) a steady-state is
quickly attained. High above the equatorial plane coagulation equilibrium is
not reached due to the much lower densities. Here, the dust size distribution
is affected primarily by differential advection, rather than coagulation.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 23:25:39 GMT""}]","2009-10-31"
"astro-ph/0012451","L. A. Phillips","L. A. Phillips and J. P. Ostriker","Searching for Baryons with Chandra","6 pages, 2 figures, poster presentation to be published in the
  proceedings of ""X-ray Astronomy 2000"", eds. R. Giacconi, L. Stella & S. Serio",,,,"astro-ph",,"  At low redshifts, measurements of the total baryon content in stars, atomic
and molecular hydrogen, and cluster gas fall a factor of two to four below the
baryon density derived from observed light-element ratios and nucleosynthesis
arguments. A possible hiding place for a significant fraction of the missing
baryons is in the warm/hot gas at temperatures T = 10^{5}-10^{7}K. We present
predictions of the contribution to the soft X-ray background from warm/hot gas
emission calculated using new hydrodynamical simulations and discuss the
possibility of detecting the spectral signature of this gas using the Chandra
X-ray Observatory.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 23:28:28 GMT""}]","2007-05-23"
"astro-ph/0012452","Dr. Michael R. Garcia","Michael R. Garcia (1), Jeffrey E. McClintock (1), Ramesh Narayan (1),
  Paul Callanan (2), and Stephen S. Murray (1) ((1) Harvard-Smithsonian Center
  for Astrophysics, (2) University College, Cork, Ireland)","New Evidence for Black Hole Event Horizons from Chandra","Submitted to ApJ Letters, 4 pages, 2 figures",,"10.1086/320494",,"astro-ph",,"  Previously we claimed that Black Hole X-ray Novae (BHXN) in quiescence are
much less luminous than equivalent Neutron Star X-ray Novae (NSXN). This claim
was based on the quiescent detection of a single short period BHXN (A0620-00,
P(orb)=7.8 hrs) and two longer period BHXN (GRO J1655-40, P(orb)=62.9 hrs; V404
Cyg, P(orb)=155.3 hrs), along with sensitive upper limits. We announce the
detection of two more short period BHXN (GRO J0422+32, P(orb)=5.1 hrs; GS
2000+25, P(orb)=8.3 hrs), an upper limit for a third which is improved by two
orders of magnitude (4U 1543-47, P(orb)=27.0 hrs) and a new, much lower
quiescent measurement of GRO J1655-40. Taken together, these new Chandra
measurements confirm that the quiescent X-ray luminosities of BHXN are
significantly lower than those of NSXN. We argue that this provides strong
evidence for the existence of event horizons in BHXN.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 00:02:36 GMT""}]","2009-10-31"
"astro-ph/0012453","George Djorgovski","S.G. Djorgovski (1), A.A. Mahabal (1), R.J. Brunner (1), R.R. Gal (1),
  S. Castro (1), R.R. de Carvalho (2), S.C. Odewahn (3) ((1) Palomar
  Observatory, Caltech, (2) ON/CNPq, Brasil, (3) Dept. of Physics and
  Astronomy, ASU)","Searches for Rare and New Types of Objects","To appear in: Virtual Observatories of the Future, eds. R. Brunner,
  S.G. Djorgovski, and A. Szalay, ASP Conf. Ser. vol. 225, pp. 52-63 (2001);
  Latex file, 12 pages, 6 encapsulated postscript figures, style file included",,,,"astro-ph",,"  Systematic exploration of the observable parameter space, covered by large
digital sky surveys spanning a range of wavelengths, will be one of the primary
modes of research with a Virtual Observatory (VO). This will include searches
for rare, unusual, or even previously unknown types of astronomical objects and
phenomena, e.g. as outliers in some parameter space of measured properties,
both in the catalog and image domains. Examples from current surveys include
high-redshift quasars, type-2 quasars, brown dwarfs, and a small number of
objects with puzzling spectra. Opening of the time domain will be especially
interesting in this regard. Data-mining tools such as unsupervised clustering
techniques will be essential in this task, and should become an important part
of the VO toolkit.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 01:31:09 GMT""}]","2007-05-23"
"astro-ph/0012454","Christopher J. Conselice","Christopher J. Conselice","The Evolution of Starburst Galaxies","8 pages, 4 figures, to be published in proceedings of the MPIA
  workshop, ""Modes of Star Formation and the Origin of Field Star Populations"",
  ed. E. Grebel and W. Brandner",,,,"astro-ph",,"  I review the properties of starburst galaxies in the nearby and distant
universe to decipher their evolution as a distinct extragalactic class. The
physical processes and environments of massive star-formation appear to be
similar out to z = 4, although the modes of triggering are likely quite
different, varied, and still evolving. This is argued with the use of a
structural system that measures the physical conditions of galaxies. This
system provides evidence that starbursts at high-z are triggered by merging,
while nearby starbursts have a host of different triggering mechanisms, none of
which, besides merging, are currently known to exist at z > 2.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 02:42:51 GMT""}]","2007-05-23"
"astro-ph/0012455","Cappellaro Enrico","Enrico Cappellaro & Massimo Turatto","Supernova types and rates","Invited review at the meeting: ""The influence of binaries on stellar
  population studies"", ed. D. Vanbeveren (Brussels 21-25 Aug. 2000). 14 pages,
  10 figures",,"10.1007/978-94-015-9723-4_16",,"astro-ph",,"  We review the basic properties of the different supernova types identified in
the current taxonomy, with emphasis on the more recent developments. To help
orienting in the variegate zoo, the optical photometric and spectroscopic
properties of the different supernova types are presented in a number of
summary figures. We also report the latest estimates of the supernova rates and
stress the need for a dedicated effort to measure SN rates at high redshift.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 08:40:19 GMT""}]","2015-05-20"
"astro-ph/0012456","Dr. R. P. Saglia","R.P. Saglia, Matthew Colless, David Burstein, Roger L. Davies, Robert
  K. McMahan, Jr., Gary Wegner","The Peculiar Motions of Early-Type Galaxies in Two Distant Regions VI:
  The Maximum Likelihood Gaussian Algorithm","43 pages, 19 figures, accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 324 (2001) 389","10.1046/j.1365-8711.2001.04317.x",,"astro-ph",,"  The EFAR project is designed to measure the properties and peculiar motions
of early-type galaxies in two distant regions. Here we describe the maximum
likelihood algorithm we developed to investigate the correlations between the
parameters of the EFAR database. One-, two-, and three-dimensional gaussian
models are constructed to determine the mean value and intrinsic spread of the
parameters, and the slopes and intrinsic parallel and orthogonal spread of the
Mgb'-Mg2, Mg2-sigma, Mgb'-sigma relations, and the Fundamental Plane. In the
latter case, the cluster peculiar velocities are also determined. We show that
this method is superior to ``canonical'' approaches of least-squares type,
which give biased slopes and biased peculiar velocities. We test the algorithm
with Monte Carlo simulations of mock EFAR catalogues and derive the systematic
and random errors on the estimated parameters. We find that random errors are
always dominant. We estimate the influence of systematic errors due to the way
clusters were selected and the hard limits and uncertainties in the selection
function parameters for the galaxies. We explore the influence of uniform
distributions in the Fundamental Plane parameters and the errors. We conclude
that the mean peculiar motions of the EFAR clusters can be determined reliably.
In particular, the placement of the two EFAR sample regions relative to the
Lauer and Postman dipole allows us to strongly constrain the amplitude of the
bulk motion in this direction.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 09:04:39 GMT""}]","2012-08-27"
