"astro-ph/0011231","Michael Kachelriess","M. Kachelriess","Ultrahigh energy cosmic rays and new particle physics","14 pages, 5 figures. Invited talk at ``CAPP-2K'', Verbier, July 2000",,"10.1063/1.1363517","CERN-TH 2000-324","astro-ph hep-ph",,"  The current status of the ultrahigh energy cosmic ray (UHE CR) enigma and
several proposed solutions involving particle physics beyond the standard model
are discussed. Emphasis is given to top--down models, and as a main example,
supermassive dark matter as galactic source for UHE CR and the status of its
experimental signatures (galactic anisotropy, chemical composition and
clustering) is reviewed. Then different approaches to calculate fragmentation
spectra of supermassive particles are discussed. Finally, it is argued that UHE
neutrinos cannot be - neither directly or indirectly - responsible for the
observed vertical air showers.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 20:03:05 GMT""}]","2009-10-31"
"astro-ph/0011266","Christian Wolf","Christian Wolf, Klaus Meisenheimer, Hermann-Josef R\""oser","Classification and Redshift Estimation in Multi-Color Surveys","7 pages, 2 figures, proceedings of MPA/ESO/MPE Joint Astronomy
  Conference Mining THE SKY held in Garching, Germany, July 31 - Aug 4, 2000",,"10.1007/10849171_40",,"astro-ph",,"  We present a photometric method for identifying stars, galaxies and quasars
in multi-color surveys and estimating multi-color redshifts for the
extragalactic objects. We use a library of >65000 color templates for
comparison with observed objects. The method was originally developed for the
Calar Alto Deep Imaging Survey (CADIS), but is now used in a variety of survey
projects. We checked its performance by spectroscopy of CADIS objects, where it
provides high reliability (6 mistakes among 151 objects with R<24), especially
for the quasar selection, and redshifts accurate within sigma_z = 0.03 for
galaxies and sigma_z = 0.1 for quasars. For an optimization of future surveys,
a few model surveys are compared, which use the same amount of telescope time
but different filter sets. In summary, medium-band surveys perform superior to
broad-band surveys although they collect less photons. A full account of this
work is already in print.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 11:13:14 GMT""}]","2009-10-31"
"astro-ph/0011267","Christian Wolf","Christian Wolf, Klaus Meisenheimer, Hermann-Josef R\""oser","Efficiency of Medium-Band Surveys","6 pages, 2 figures, Proceedings of the conference held in Preston,
  UK, 21-24 August 2000",,,,"astro-ph",,"  We simulate multi-color surveys, which use the same telescope time on
different filter sets of broad-band and medium-band filters. We use a
photometric classification method for identifying stars, galaxies and quasars
and for estimating multi-color redshifts of extragalactic objects. A library of
>65000 color templates is used for comparison with observed objects.
Spectroscopy from the CADIS survey has proven the performance of the method. We
learned, that medium-band surveys perform superior to broad-band surveys in
terms of classification and redshift estimation although they collect less
photons. A full account of this work is already in print.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 11:23:41 GMT""}]","2007-05-23"
"astro-ph/0011268","Edvige Corbelli","Edvige Corbelli (1), Edwin E. Salpeter (2), Rino Bandiera (1) ((1)
  Osservatorio Astrofisico di Arcetri, (2) Cornell University)","Sharp HI edges at high z: the gas distribution from Damped Lyman-alpha
  to Lyman-limit absorption systems","21 pages, 6 figures. Accepted for publication in ApJ",,"10.1086/319727",,"astro-ph",,"  We derive the distribution of neutral and ionized gas in high redshift clouds
which are optically thick to hydrogen ionizing radiation, using published data
on Lyman-limit and Damped Lyman-alpha absorption systems in the redshift range
1.75 < z < 3.25. We assume that the distribution of the hydrogen total (HI+HII)
column density in the absorbers follows a power law K N_H^{-alpha}, whereas the
observed HI column density distribution deviates from a pure power law as a
result of ionization from a background radiation field. Comparison of the
models and observations give Maximum Likelihood solutions for the exponent
alpha and for X, the value of log(N_H/N_HI) when the Lyman-limit optical depth
is unity: alpha=2.7^{+1.0}_{-0.7} and X=2.75\pm0.35. X is much lower than what
would be obtained for a gaseous distribution in equilibrium under its own
gravity but the ratio of dark matter to gas density is not well constrained
being log(eta_0)=1.1\pm 0.8. An extrapolation of our derived power law
distribution towards systems of lower column density, the Lyman-alpha forest,
favours models with log(eta_0) < 1.1 and alpha=2.7-3.3. With alpha appreciably
larger than 2, Lyman-limit systems contain more gas than Damped Lyman-alpha
systems and Lyman-alpha forest clouds even more. Estimates of the cosmological
gas and dark matter density due to absorbers of different column density around
z=2.5 are also given.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 11:56:07 GMT""}]","2009-10-31"
"astro-ph/0011269","Patrik Thoren","P. Thoren (Uppsala Astronomical Observatory), B. Edvardsson (Uppsala
  Astronomical Observatory)","The boron absorption line at 2089.6 AA in HD 140283 ?","4 pages, latex, 2 figures, Accepted for publication in A&AL","Astron.Astrophys.363:L33,2000",,,"astro-ph",,"  We have observed the B I line at 2089.6 AA in the metal poor star HD 140283
with HST/STIS. The observation was an attempt to confirm the B abundances
derived from the 2497 AA B I line in earlier works in general, and for for this
star in particular (Edvardsson et al. 1994 A&A 290, 176; Kiselman & Carlsson
1996, A&A 311, 680). The resulting spectrum gained from 8 orbits of
observations is hardly consistent with the boron abundance derived in the
earlier works. A pure 10^B line could produce the feature observed but no
reasonable process can produce such a ratio between 10^B and 11^B. More likely
the analysed feature is affected by a statistical fluctuation. A conservative
upper limit estimate of the NLTE corrected boron abundance gives a value
marginally consistent with that derived from the 2497 AA line. We are proposing
further observations to derive a more definite abundance from the line.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 13:26:52 GMT""}]","2011-05-23"
"astro-ph/0011270","Laszlo L. Kiss","L.L. Kiss, J.R. Thomson, W. Ogloza, G. Furesz, K. Sziladi","The 2000 outburst of the recurrent nova CI Aquilae: optical spectroscopy","8 pages, 7 figures, accepted for publication in A&A",,"10.1051/0004-6361:20010015",,"astro-ph",,"  We present low- and medium resolution spectra of the recurrent nova CI
Aquilae taken at 14 epochs in May and June, 2000. The overall appearance is
similar to other U Sco-type recurrent novae (U Sco, V394 CrA). Medium
resolution (R=7000-10000) hydrogen and iron profiles suggest an early expansion
velocity of 2000-2500 km/s. The H\alpha evolution is followed from Dt = -0.6 d
to +53 d, starting from a nearly Gaussian shape to a double peaked profile
through strong P-Cyg profiles. The interstellar component of the sodium D line
and two diffuse interstellar bands put constraints on the interstellar
reddening which is estimated to be E(B-V)=0.85\pm0.3. The available visual and
CCD-V observations are used to determine t0,t2 and t3. The resulting parameters
are: t0=2451669.5\pm0.1, t2=30\pm1 d, t3=36\pm1 d. The recent lightcurve is
found to be generally similar to that observed in 1917 with departures as large
as 1-2 mag in certain phases. This behaviour is also typical for the U Sco
subclass.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 14:15:01 GMT""}]","2009-10-31"
"astro-ph/0011271","Gyula P. Szokoly","G. Hasinger, B. Altieri, M. Arnaud, X. Barcons, J. Bergeron, H.
  Brunner, M. Dadina, K. Dennerl, P. Ferrando, A. Finoguenov, R. E. Griffiths,
  Y. Hashimoto, F. A. Jansen, D. H. Lumb, K. O. Mason, S. Mateos, R. G.
  McMahon, T. Miyaji, F. Paerels, M. J. Page, A. F. Ptak, T. P. Sasseen, N.
  Schartel, G. P. Szokoly, J. Truemper, M. Turner, R. S. Warwick, M. G. Watson","XMM-Newton observation of the Lockman Hole; I. The X-ray Data","6 pages, based on the new A&A style file (included), to be published
  in A&A 365 (2001, special XMM issue), one page contains color images","Astron.Astrophys. 365 (2001) L45-L50","10.1051/0004-6361:20000046",,"astro-ph",,"  We report on the first deep X-ray survey with the XMM-Newton observatory
during the performance verification phase. The field of the Lockman Hole, one
of the best studied sky areas over a very wide range of wavelengths, has been
observed. A total of ~100 ksec good exposure time has been accumulated.
Combining the images of the European Photon Imaging Camera (EPIC) detectors we
reach a flux limit of 0.31, 1.4 and 2.4 X 10^{-15} erg cm^{-2} s^{-1},
respectively in the 0.5-2, 2-10, and 5-10 keV band. Within an off-axis angle of
10 arcmin we detect 148, 112 and 61 sources, respectively. The log(N)-log(S)
relation in the three bands is compared with previous results. In particular in
the 5-10 keV band these observations present the deepest X-ray survey ever,
about a factor 20 more sensitive than the previous BeppoSAX observations. Using
X-ray spectral diagnostics and the set of previously known, spectroscopically
identified ROSAT sources in the field, the new sources can be classified.
XMM-Newton detects a significant number (~40%) of X-ray sources with hard,
probably intrinsically absorbed X-ray spectra, confirming a prediction of the
population synthesis models for the X-ray background.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 14:54:09 GMT""}]","2009-10-31"
"cond-mat/0011224","Ginestra Bianconi","G. Bianconi and A.-L. Barab\'asi","Bose-Einstein condensation in complex networks",,"Phys.Rev.Lett.86:5632-5635,2001","10.1103/PhysRevLett.86.5632",,"cond-mat.dis-nn cond-mat.stat-mech",,"  The evolution of many complex systems, including the world wide web, business
and citation networks is encoded in the dynamic web describing the interactions
between the system's constituents. Despite their irreversible and
non-equilibrium nature these networks follow Bose statistics and can undergo
Bose-Einstein condensation. Addressing the dynamical properties of these
non-equilibrium systems within the framework of equilibrium quantum gases
predicts that the 'first-mover-advantage', 'fit-get-rich' and
'winner-takes-all' phenomena observed in competitive systems are
thermodynamically distinct phases of the underlying evolving networks.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 16:21:30 GMT""}]","2009-02-12"
"cond-mat/0011225","Jan Naudts","Jan Naudts","Solving inverse problems by combination of maximum entropy and
  montecarlo simulation","9 pages, revtex4",,,,"cond-mat.stat-mech physics.comp-ph physics.data-an",,"  The montecarlo method, which is quite commonly used to solve maximum entropy
problems in statistical physics, can actually be used to solve inverse problems
in a much wider context. The probability distribution which maximizes entropy
can be calculated analytically by introducing Lagrange parameters. The problem
of fixing these lagrangean parameters is circumvented by introduction of a
microcanonical ensemble which describes a system together with its heath bath.
Some further simplifying assumptions make it feasible to do montecarlo sampling
of the probability distribution. The method is applied to the example of
determining the distribution of the density of the earth from three data.
Advantages of the method are guaranteed convergence and a clear
information-theoretic foundation.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 16:54:50 GMT""}]","2007-05-23"
"cond-mat/0011226","Ruben Perez","Ruben Perez, Jose Ortega, Fernando Flores","Surface soft phonon and the root3 x root3 <--> 3 x 3 phase transition in
  Sn/Ge(111) and Sn/Si(111)","4 pages, Revtex, 4 Encapsulated Postscript figures, uses epsf.sty.
  Final version published in Phys. Rev. Lett","Phys. Rev. Lett. 86, 4891-4894 (2001)","10.1103/PhysRevLett.86.4891",,"cond-mat.mtrl-sci",,"  Density Functional Theory (DFT) calculations show that the reversible
Sn/Ge(111) $\sqrt{3}\times\sqrt{3} \leftrightarrow 3\times3$ phase transition
can be described in terms of a surface soft phonon. The isovalent Sn/Si(111)
case does not display this transition since the $\sqrt{3}\times\sqrt{3}$ phase
is the stable structure at low temperature, although it presents a partial
softening of the $3\times3$ surface phonon. The rather flat energy surfaces for
the atomic motion associated with this phonon mode in both cases explain the
experimental similarities found at room temperature between these systems. The
driving force underlying the $\sqrt{3}\times\sqrt{3} \leftrightarrow 3\times3$
phase transition is shown to be associated with the electronic energy gain due
to the Sn dangling bond rehybridization.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 17:19:44 GMT""},{""version"":""v2"",""created"":""Tue, 14 Nov 2000 15:51:49 GMT""},{""version"":""v3"",""created"":""Fri, 11 May 2001 10:54:01 GMT""}]","2009-10-31"
"cond-mat/0011227","Stephen Hill","M. M. Mola, S. Hill, J. S. Brooks and J. S. Qualls","Magneto-thermal instabilities in kappa-(BEDT-TTF)2Cu(NCS)2","3 pages, to appear in Int. J. Modern Phys. B",,,,"cond-mat.supr-con",,"  Angle and temperature dependent torque magnetization measurements are
reported for the organic superconductor kappa-(BEDT-TTF)2Cu(NCS)2, at extremely
low temperatures (approx. Tc/10^3). Magneto-thermal instabilities are observed
in the form of abrupt magnetization (flux) jumps. We carry out an analysis of
the temperature and field orientation dependence of these flux jumps based on
accepted models for layered type-II superconductors. Using a simple Bean model,
we also find a critical current density of 4x10^8 A/m^2 from the remnant
magnetization, in agreement with previous measurements.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 17:49:44 GMT""}]","2007-05-23"
"cond-mat/0011228","Jean-Eric Wegrowe","J.-E. Wegrowe, D. Kelly, Ph. Guittienne, J-Ph. Ansermet (EPFL)","Magnetization reversal triggered by spin injection in magnetic nanowires","9 pages, 5 figures",,"10.1209/epl/i2001-00584-7",,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  It is shown that a pulsed current driven through Ni nanowires provokes an
irreversible magnetization reversal at a field distant from the spontaneous
switching field $H_{sw}$ by $\Delta H$ of as much as 40 % of $H_{sw}$. The
state of the magnetization is assessed by magnetoresistive measurements carried
out on single, isolated nanowires. The reversible part of the magnetization
follows that of a uniform rotation. The switching occurs between the two states
accessible otherwise by normal field ramping. $\Delta H$ is studied as a
function of the angle between the applied field and the wire, and also of the
direction of the pulsed current. The results are interpreted in terms of
spin-flip transfer from the spin-polarized current to the magnetization, while
the switching is approximated by a curling reversal mode.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 18:02:04 GMT""}]","2009-10-31"
"cond-mat/0011229","M. J. Bhaseen","M. J. Bhaseen","Legendre's Relation and the Quantum Equivalence osp(4|4)_(1) =
  osp(2|2)_(-2) + su(2)_(0)","13 pages, RevTex","Nucl.Phys. B604 (2001) 537-550","10.1016/S0550-3213(01)00178-X",,"cond-mat hep-th",,"  Using explicit results for the four-point correlation functions of the
Wess-Zumino-Novikov-Witten (WZNW) model we discuss the conformal embedding
osp(4|4)_(1) = osp(2|2)_(-2) + su(2)_(0). This embedding has emerged in Bernard
and LeClair's recent paper [1]. Given that the osp(4|4)_(1) WZNW model is a
free theory with power law correlation functions, whereas the su(2)_(0) and
osp(2|2)_(-2) models are CFTs with logarithmic correlation functions, one
immediately wonders whether or not it is possible to combine these logarithms
and obtain simple power laws. Indeed, this very concern has been raised in a
revised version of [1]. In this paper we demonstrate how one may recover the
free field behaviour from a braiding of the solutions of the su(2)_(0) and
osp(2|2)_(-2) Knizhnik-Zamolodchikov equations. We do this by implementing a
procedure analogous to the conformal bootstrap programme [2]. Our ability to
recover such simple behaviour relies on a remarkable identity in the theory of
elliptic integrals known as Legendre's relation.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 18:12:02 GMT""}]","2009-10-31"
"cond-mat/0011230","Wagner de Assis Cangussu Passos","W. A. C. Passos, U. R. de Oliveira and W. A. Ortiz (Grupo de
  Supercondutividade e Magnetismo, Departamento de Fisica Universidade Federal
  de Sao Carlos, Sao Carlos, SP, Brazil)","Evaluating the critical current magnitude and distribution width of
  tridimensional Josephson junction arrays","8 pages, 2 figures, presented at ICM-2000 International Conference on
  Magnetism, to appear on JMMM",,"10.1016/S0304-8853(00)01174-4",,"cond-mat.supr-con",,"  In this contribution we present a simple and effective procedure to determine
the average critical current of a tridimensional disordered Josephson junction
array (3D-DJJA). Using a contactless configuration we evaluate the average
critical current and the typical width of the distribution through the analysis
of the isothermal susceptibility response to the excitation field amplitude,
chiAC(h). A 3D-DJJA fabricated from granular Nb is used to illustrate the
method.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 21:36:52 GMT""}]","2009-10-31"
"cond-mat/0011231","Kensuke Kobayashi","K. Kobayashi, A. Fujimori, T. Ohtani, I. Dasgupta, O. Jepsen, O. K.
  Andersen","Electronic Structure of the Chevrel-Phase Compounds
  Sn$_{x}$Mo$_{6}$Se$_{7.5}$: Photoemission Spectroscopy and Band-structure
  Calculations","8 pages, 5 figures","Phys. Rev. B 63, 195109 (2001)","10.1103/PhysRevB.63.195109",,"cond-mat.str-el cond-mat.supr-con",,"  We have studied the electronic structure of two Chevrel-phase compounds,
Mo$_6$Se$_{7.5}$ and Sn$_{1.2}$Mo$_6$Se$_{7.5}$, by combining photoemission
spectroscopy and band-structure calculations. Core-level spectra taken with
x-ray photoemission spectroscopy show systematic core-level shifts, which do
not obey a simple rigid-band model. The inverse photoemission spectra imply the
existence of an energy gap located $\sim 1$ eV above the Fermi level, which is
a characteristic feature of the electronic structure of the Chevrel compounds.
Quantitative comparison between the photoemission spectra and the
band-structure calculations have been made. While good agreement between theory
and experiment in the wide energy range was obtained as already reported in
previous studies, we found that the high density of states near the Fermi level
predicted theoretically due to the Van Hove singularity is considerably reduced
in the experimental spectra taken with higher energy resolution than in the
previous reports. Possible origins are proposed to explain this observation.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 22:57:41 GMT""}]","2009-10-31"
"cond-mat/0011233","Subir Sachdev","Subir Sachdev (Yale)","Static hole in a critical antiferromagnet: field-theoretic
  renormalization group","6 pages, 2 figures; for field theory afficionados; all others see
  cond-mat/0011232; Proceedings of the 13th International Symposium on
  Superconductivity, October 2000, Tokyo","Physica C357 (2001) 78","10.1016/S0921-4534(01)00198-8",,"cond-mat.str-el cond-mat.supr-con hep-th",,"  We consider the quantum field theory of a single, immobile, spin S hole
coupled to a two-dimensional antiferromagnet at a bulk quantum critical point
between phases with and without magnetic long-range order. We present an
alternative derivation of its two-loop beta function; the results agree
completely with earlier work (M. Vojta et al, cond-mat/9912020), and also
determine a new anomalous dimension of the hole creation operator.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 01:33:00 GMT""}]","2007-05-23"
"cond-mat/0011234","Chetan Nayak","Eugene Pivovarov (Caltech), Chetan Nayak (UCLA)","Odd-Frequency Density Waves: Non-Fermi-Liquid Metals with an Order
  Parameter","References added, one footnote moved into the text",,"10.1103/PhysRevB.64.035107",,"cond-mat.str-el",,"  We consider states with a charge- or spin-density wave order parameter which
is odd in frequency, so that the order parameter vanishes at zero frequency and
there is a conventional Fermi surface. Such states break translational symmetry
and, therefore, are not conventional Fermi liquids. In the odd-frequency
spin-density wave case, there are Goldstone bosons and the low-energy spectrum
is manifestly different from that of a Fermi liquid. We discuss a simple model
which gives rise to such ordered states. The frequency-dependence of the gap
leads to an unusual temperature dependence for various thermodynamic and
transport properties, notably the resistivity.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 00:05:28 GMT""},{""version"":""v2"",""created"":""Tue, 28 Nov 2000 01:28:55 GMT""}]","2009-10-31"
"cond-mat/0011235","Takayuki Shirakura","T. Shirakura (Faculty of Humanities and Social Sciences, Iwate
  University), F. Matsubara (Department of Applied Physics, Tohoku University)
  and M. Shiomi (Department of Applied Physics, Tohoku University)","Comment on 'A new method to calculate the spin-glass order parameter of
  the two-dimensional $\pm J$ Ising model'","4 pages, 2 figures",,,,"cond-mat.dis-nn",,"  Contrary to the suggestion of Kitatani and Sinada (2000 J. Phys. A: Math.
Gen. {\bf 33} 3545-3553), the scaling analysis of the order parameter
distributions suggests the existence of a finite-temperature spin-glass phase
transition $T_c\ne 0$, even if the corrections to scaling are taken into
account.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 07:01:46 GMT""}]","2007-05-23"
"cond-mat/0011236","Luca Floreano","L. Floreano, D. Cvetko, G. Bavdek, M. Benes and A. Morgante (Lab.
  TASC-INFM, Trieste, Italy)","The order-disorder transition of the (3x3)Sn/Ge(111) phase","6 pages with 4 figures; updated references","Phys. Rev. B 64, (2001) 075405","10.1103/PhysRevB.64.075405",,"cond-mat.stat-mech cond-mat.str-el",,"  Growing attention has been drawn in the past years to the \alpha-phase (1/3
monolayer) of Sn on Ge(111), which undergoes a transition from the low
temperature (3x3) phase to the room temperature (\sqrt3 x \sqrt3)R30 one. On
the basis of scanning tunnelling microscopy experiments, this transition was
claimed to be the manifestation of a surface charge density wave (SCDW), i.e. a
periodic redistribution of charge, possibly accompanied by a periodic lattice
distortion, which determines a change of the surface symmetry. As further
experiments with different techniques were being performed, increasing doubts
were cast about the SCDW model. We have measured by He scattering the long
range order of the 1/3 monolayer phase of Sn on the Ge(111) surface throughout
the phase transition. The transition has been found of the order-disorder type
with a critical temperature Tc=220 K. The expected 3-State Potts critical
exponents are shown to be consistent with the observed power law dependence of
the (3x3) order parameter and its correlation length close to Tc, thus
excluding a charge density wave driven phase transition.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 13:56:20 GMT""},{""version"":""v2"",""created"":""Wed, 9 May 2001 09:19:28 GMT""},{""version"":""v3"",""created"":""Thu, 26 Jul 2001 12:58:05 GMT""}]","2009-10-31"
"cond-mat/0011237","Pasqualina Caputo","P. Caputo, M. V. Fistul, A. V. Ustinov","Resonances in one and two rows of triangular Josephson junction cells","11 pages, 8 figures, submitted to PRB",,"10.1103/PhysRevB.63.214510",,"cond-mat.supr-con",,"  We present an experimental and analytical study of resonances in the
current-voltage characteristics of single and double row triangular Josephson
arrays. The magnetic field dependences of the voltage positions of the
resonances have been measured for various cell inductances and junction
critical currents. In double row arrays, we have observed a peculiar resonance,
whose voltage position decreases with magnetic field. We derive the spectrum of
linear electromagnetic waves propagating in the arrays. In the double row
array, the spectrum consists of many branches that differ by the behavior of
the Josephson junctions transverse to the bias current direction. The measured
magnetic field dependence of the resonance voltages is mapped to the linear
mode spectrum and good agreement between experiments and model is found.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 09:34:02 GMT""}]","2009-10-31"
"cond-mat/0011238","Christophe Josserand","Simon Villain-Guillot and Christophe Josserand","Non-linear growth of periodic patterns","25 pages, 7 figures",,,,"cond-mat.stat-mech",,"  We study the growth of a periodic pattern in one dimension for a model of
spinodal decomposition, the Cahn-Hilliard equation. We particularly focus on
the intermediate region, where the non-linearity cannot be negected anymore,
and before the coalescence dominates. The dynamics is captured through the
standard technique of a solubility condition performed over a particular family
of quasi-static solutions. The main result is that the dynamics along this
particular class of solutions can be expressed in terms of a simple ordinary
differential equation. The density profile of the stationary regime found at
the end of the non-linear growth is also well characterized. Numerical
simulations correspond satisfactorily to the analytical results through three
different methods and asymptotic dynamics are well recovered, even far from the
region where the approximations hold.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 10:22:07 GMT""},{""version"":""v2"",""created"":""Tue, 4 Dec 2001 14:56:52 GMT""}]","2007-05-23"
"cond-mat/0011239","Pedro Castelo Ferreira","P. Castelo Ferreira, F. P. Mancini, M. H. R. Tragtenberg","Phase Diagrams of the Harper Map and the Golden Staircase","4 pages, 11 figures","Phys. Lett. A 296 (2002) 91","10.1016/S0375-9601(02)00286-4","OUTP-00-07S","cond-mat.dis-nn cond-mat.stat-mech nlin.CD",,"  We present phase diagrams of the Harper map, which is equivalent to the
problem of Bloch electrons in a uniform magnetic field (Azbel-Hofstadter
model). We consider the cases where the magnetic flux $\omega$ assumes either
the continued fraction approximations towards the golden mean or the golden
mean itself. The phase diagrams for rational values of $\omega$ show a finite
number of Arnol'd tongues of localized electronic states with rational winding
numbers and regions of extended phases in between them. For the particular case
of $\omega = \frac{\sqrt{5}-1}{2}$, we find an infinite number of Arnol'd
tongues of localized phases with extended phases in between. In this case, the
study of the winding number gives rise to a Golden Staircase, where the
plateaux represent localized phases with winding numbers equal to sums of
powers of the golden mean. We also present evidence of the existence of an
infinite number of strange nonchaotic attractors for $\epsilon=1$ in points
analogous to critical points in the pressure-temperature phase diagram of the
water.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 12:21:53 GMT""}]","2009-10-31"
"cond-mat/0011240","Zengo Tsuboi","Kazumitsu Sakai and Zengo Tsuboi","Thermodynamics of osp(1|2) Integrable Spin Chain: Finite Size Correction","13 pages, 1 figure, to appear in J. Phys. Soc. Jpn. Vol. 70-2","J.Phys.Soc.Jap. 70 (2001) 367-371","10.1143/JPSJ.70.367",,"cond-mat.stat-mech",,"  This note is a supplement to our previous papers: Mod. Phys. Lett. A14 (1999)
2427 (math-ph/9911010); Int. J. Mod. Phys. A15 (2000) 2329 (math-ph/9912014).
The thermodynamic Bethe ansatz (TBA) equation for an integrable spin chain
related to the Lie superalgebra osp(1|2) is analyzed. The central charge
determined by low temperature asymptotics of the specific heat can be expressed
by the Rogers dilogarithmic function, and identified to be 1. Solving the TBA
equation numerically, we evaluate the several thermodynamic quantities. The
excited state TBA equation is also discussed.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 13:28:33 GMT""}]","2009-10-31"
"cond-mat/0011241","Yuri N. Morokov","V. A. Gritsenko, P. M. Lenahan, Yu. N. Morokov, and Yu. N. Novikov","Nature of traps responsible for failure of MOS devices","4 pages, LaTex, 1 gif file with 2 figures",,,,"cond-mat",,"  A failure of chips in a huge amount of modern electronic devices is connected
as a rule with the undesirable capturing of charge (electrons and holes) by
traps in a thin insulating film of silicon oxide in transistors. It leads to a
breakdown of transistors or to a destructive change of their characteristics.
It is suggested that silicon oxide will be replaced in the next generation of
nanoscale devices by silicon oxynitride. Therefore, it is very important to
understand the nature of traps in this material. We discuss this nature using
the quantum-chemical simulation.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 14:50:24 GMT""}]","2007-05-23"
"cond-mat/0011242","Achille Giacometti","Flavio Carsughi (Universita' di Ancona), Achille Giacometti
  (Universita' di Venezia), Domenico Gazzillo (Universita' di Venezia)","Small Angle Scattering data analysis for dense polydisperse systems: the
  FLAC program","18 pages, 1 figure, uses elsart.sty","Computer Physics Communication 133 (2000) 66","10.1016/S0010-4655(00)00202-2",,"cond-mat.stat-mech",,"  FLAC is a program to calculate the small-angle neutron scattering intensity
of highly packed polydisperse systems of neutral or charged hard spheres within
the Percus-Yevick and the Mean Spherical Approximation closures, respectively.
The polydisperse system is defined by a size distribution function and the
macro-particles have hard sphere radii which may differ from the size of their
scattering cores. With FLAC, one can either simulate scattering intensities or
fit experimental small angle neutron scattering data. In output scattering
intensities, structure factors and pair correlation functions are provided.
Smearing effects due to instrumental resolution, vertical slit, primary beam
width and multiple scattering effects are also included on the basis of the
existing theories. Possible form factors are those of filled or two-shell
spheres.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 15:39:45 GMT""}]","2009-10-31"
"cond-mat/0011243","Vincenzo Fiorentini","F. Bernardini, V. Fiorentini (Cagliari), D. Vanderbilt (Rutgers)","Accurate calculation of polarization-related quantities in
  semiconductors","RevTeX 4 pages, no figures",,"10.1103/PhysRevB.63.193201",,"cond-mat.mtrl-sci",,"  We demonstrate that polarization-related quantities in semiconductors can be
predicted accurately from first-principles calculations using the appropriate
approach to the problem, the Berry-phase polarization theory. For III-V
nitrides, our test case, we find polarizations, polarization differences
between nitride pairs, and piezoelectric constants quite close to their
previously established values. Refined data are nevertheless provided for all
the relevant quantities.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 15:55:53 GMT""}]","2016-08-31"
"cs/0011017","Johann Schumann","Johann Schumann","Automatic Debugging Support for UML Designs","In M. Ducasse (ed), proceedings of the Fourth International Workshop
  on Automated Debugging (AADEBUG 2000), August 2000, Munich. cs.SE/0010035",,,,"cs.SE cs.PL",,"  Design of large software systems requires rigorous application of software
engineering methods covering all phases of the software process. Debugging
during the early design phases is extremely important, because late bug-fixes
are expensive.
  In this paper, we describe an approach which facilitates debugging of UML
requirements and designs. The Unified Modeling Language (UML) is a set of
notations for object-orient design of a software system. We have developed an
algorithm which translates requirement specifications in the form of annotated
sequence diagrams into structured statecharts. This algorithm detects conflicts
between sequence diagrams and inconsistencies in the domain knowledge. After
synthesizing statecharts from sequence diagrams, these statecharts usually are
subject to manual modification and refinement. By using the ``backward''
direction of our synthesis algorithm, we are able to map modifications made to
the statechart back into the requirements (sequence diagrams) and check for
conflicts there. Fed back to the user conflicts detected by our algorithm are
the basis for deductive-based debugging of requirements and domain theory in
very early development stages. Our approach allows to generate explanations on
why there is a conflict and which parts of the specifications are affected.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 23:30:33 GMT""}]","2007-05-23"
