"astro-ph/0011233","Daniele Steer","D.A.Steer","Self-intersections and gravitational properties of chiral cosmic strings
  in Minkowski space","18 pages, 7 figures. Typos corrected and a reference added. Version
  to appear in PRD","Phys.Rev. D63 (2001) 083517","10.1103/PhysRevD.63.083517",,"astro-ph hep-ph",,"  Chiral cosmic strings are naturally produced at the end of D-term inflation
and they may have interesting cosmological consequences. As was first proved by
Carter and Peter, the equations of motion for chiral cosmic strings in
Minkowski space are integrable (just as for Nambu-Goto strings). Their
solutions are labeled by a function $k(\sigma - t)$ where $t$ is time and
$\sigma$ is the invariant length along the string, and the constraints on $k$,
which determines the charge on the string, are that $0 \leq k^2 \leq 1$. We
review the origin of this parameter and also discuss some general properties of
such strings which can be deduced from the equations of motion. The metric
around infinite chiral strings is then constructed in the weak field limit, and
studied as a function of $k$. We also consider the angular momentum of circular
chiral loops, and extend previous work to consider the evolution and
self-intersection properties of a more general family of chiral cosmic string
loops for which $k^2(\sigma-t)$ is not constant.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 19:15:17 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jan 2001 12:47:13 GMT""}]","2009-10-31"
"astro-ph/0011244","Roberto Soria","R. Shirey, R. Soria, K. Borozdin, J. P. Osborne, A. Tiengo, M.
  Guainazzi, C. Hayter, N. La Palombara, K. O. Mason, S. Molendi, F. Paerels,
  W. Pietsch, W. Priedhorsky, A. M. Read, M. G. Watson, R. G. West","The central region of M31 observed with XMM-Newton (I. Group properties
  and diffuse emission)","to appear in the XMM-Newton special issue of A&A (Vol 365, January
  2001). High-resolution versions of fig. 1 and fig. 6 available on request",,"10.1051/0004-6361:20000243",,"astro-ph",,"  We present the results of a study based on an XMM-Newton Performance
Verification observation of the central 30 arcmin of the nearby spiral galaxy
M31. In the 34-ks European Photon Imaging Camera (EPIC) exposure, we detect 116
sources down to a limiting luminosity of 6 x 10^35 erg/s (0.3--12 keV, d = 760
kpc). The luminosity distribution of the sources detected with XMM-Newton
flattens at luminosities below ~ 2.5 x 10^37 erg/s. We make use of hardness
ratios for the detected sources in order to distinguish between classes of
objects such as super-soft sources and intrinsically hard or highly absorbed
sources. We demonstrate that the spectrum of the unresolved emission in the
bulge of M31 contains a soft excess which can be fitted with a ~ 0.35-keV
optically-thin thermal-plasma component clearly distinct from the composite
point-source spectrum. We suggest that this may represent diffuse gas in the
centre of M31, and we illustrate its extent in a wavelet-deconvolved image.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:06:22 GMT""}]","2009-10-31"
"astro-ph/0011245","Mr Nick Schurch","R.S. Warwick (1), J-P. Bernard (2), F. Bocchino (3), A. Decourchelle
  (4), P. Ferrando (4), R.G. Griffiths (1), F. Haberl (5), N. La Palombara (6),
  D. Lumb (3), S. Mereghetti (6), A.M. Read (5), D. Schaudel (5), N. Schurch
  (1), A. Tiengo (7), R. Willingale (1) ((1) University of Leicester. England.,
  (2) Institute d'Astrophysique Spatiale. France., (3) ESTEC. The Netherlands.,
  (4) Service d'Astrophysique. France., (5) Max-Planck-Institut fur
  extraterrestrische Physik. Germany., (6) Istituto di Fisica Cosmica
  ``G.Occhialini''. Italy., (7) XMM-SOC. Spain.)","The Extended X-ray Halo of the Crab-like SNR G21.5-0.9","6 pages. Accepted for publication in the Astronomy and Astrophysics
  Special Issue on 1st science with XMM-Newton",,"10.1051/0004-6361:20000224",,"astro-ph",,"  Recent XMM-Newton observations reveal an extended (150"") low-surface
brightness X-ray halo in the supernova remnant G21.5-0.9. The near circular
symmetry, the lack of any limb brightening and the non-thermal spectral form,
all favour an interpretation of this outer halo as an extension of the central
synchrotron nebula rather than as a shell formed by the supernova blast wave
and ejecta. The X-ray spectrum of the nebula exhibits a marked spectral
softening with radius, with the power-law spectral index varying from Gamma =
1.63 +/- 0.04 in the core to Gamma = 2.45 +/- 0.06 at the edge of the halo.
Similar spectral trends are seen in other Crab-like remnants and reflect the
impact of the synchrotron radiation losses on very high energy electrons as
they diffuse out from the inner nebula. A preliminary timing analysis provides
no evidence for any pulsed X-ray emission from the core of G21.5-0.9.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:12:21 GMT""}]","2016-08-30"
"astro-ph/0011246","Jacco van Loon","Jacco Th. van Loon (IoA Cambridge, UK) and Albert A. Zijlstra (UMIST
  Manchester, UK)","Supersonic water masers in 30 Doradus","11 pages plus 1 PS and 1 EPS figure, uses AASTeX preprint style;
  accepted for publication in Astrophysical Journal Letters",,"10.1086/318892",,"astro-ph",,"  We report on extremely high velocity molecular gas, up to -80 km/s relative
to the ambient medium, in the giant star-formation complex 30 Doradus in the
Large Magellanic Cloud (LMC), as observed in new 22 GHz H2O maser emission
spectra obtained with the Mopra radio telescope. The masers may trace the
velocities of protostars, and the observed morphology and kinematics indicate
that current star formation occurs near the interfaces of colliding
stellar-wind blown bubbles. The large space velocities of the protostars and
associated gas could result in efficient mixing of the LMC. A similar mechanism
in the Milky Way could seed the galactic halo with relatively young stars and
gas.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:47:36 GMT""}]","2009-10-31"
"astro-ph/0011247","Peggy Varniere","P. Varniere, M. Tagger (SAp CEA/Saclay France)","The Accretion-Ejection Instability in X-ray Binaries","2 pages, 2 color figures, to be published in `Proceedings of the
  Third Microquasar Workshop: Granada Workshop on galactic relativistic jet
  sources', Eds A. J.Castro-Tirado, J. Greiner and J. M. Paredes, Astrophysics
  and Space Science special issue, in press","Astrophys.Space Sci. 276 (2001) 233-234",,,"astro-ph",,"  The Accretion-Ejection Instability (AEI), which can occur in magnetized disks
near equipartition, is a good candidate to explain the low-frequency QPO in
black-hole binaries. Here we present analytical work concerning the behavior of
QPO frequency and the emission of Alfv\'en waves from the disk to the corona.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:59:55 GMT""}]","2007-05-23"
"astro-ph/0011248","Lev Yungelson","Lev Yungelson (1), Gijs Nelemans (2), Simon. F. Portegies Zwart (3),
  Frank Verbunt (4) ((1) Institute of Astronomy of the RAS, Moscow, Russia, (2)
  Astronomical Institute ""Anton Pannekoek"", Amsterdam, the Netherlands, (3)
  MIT, Cambridge, USA, (4) Astronomical Institute, Utrecht University, Utrecht,
  the Netherlands)","The population of close double white dwarfs in the Galaxy","15 pages, 7 figures, to appear in Proc. ``The influence of binaries
  on stellar population studies'', Brussels, August 2000 (Kluwer, D. Vanbeveren
  ed.)",,"10.1007/978-94-015-9723-4_25",,"astro-ph",,"  We present a new model for the Galactic population of close double white
dwarfs. The model accounts for the suggestion of the avoidance of a substantial
spiral-in during mass transfer between a giant and a main-sequence star of
comparable mass and for detailed cooling models. It agrees well with the
observations of the local sample of white dwarfs if the initial binary fraction
is close to 50% and an ad hoc assumption is made that white dwarfs with mass
less than about 0.3 solar mass cool faster than the models suggest. About 1000
white dwarfs brighter than V=15 have to be surveyed for detection of a pair
which has total mass greater than the Chandrasekhar mass and will merge within
10 Gyr.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 14:13:52 GMT""}]","2015-05-20"
"astro-ph/0011249","Piera L. Ghia","LVD Collaboration","Upper limits to low energy antineutrino flux from GRB990705","5 pages, 3 figures, 2 tables, accepted for publication in A&A",,,,"astro-ph",,"  The detection of Gamma Ray Burst GRB990705 on 1999, July 5.66765 UT, pointing
to the Large Magellanic Clouds, suggested the search for a possible neutrino
counterpart, both in coincidence with and slightly before (or after) the photon
burst. We exploited such a possibility by means of the LVD neutrino telescope
(National Gran Sasso Laboratory, Italy), which has the capability to study
low-energy cosmic neutrinos. No evidence for any neutrino signal, over a wide
range of time durations, has been found, at the occurrence of GRB990705. Due to
the lack of information about both the source distance and its emission
spectrum, the results of the search are expressed in terms of upper limits, at
the Earth, to the antineutrino flux $\cdot$ cross-section, integrated over
different time durations. Moreover, assuming thermal antineutrino spectra at
the source, upper limits to the antineutrino flux, integrated over time
duration, for different spectral temperatures, are obtained. Based on these
limits and on the expectations for neutrino emission from collapsing
astrophysical objects, the occurrence of a gravitational stellar collapse can
be excluded up to a distance r approximately 50 kpc, in the case of time
coincidence with GRB990705, and r approximately 20 kpc, for the 24 hours
preceding it.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 15:14:43 GMT""}]","2012-08-27"
"cond-mat/0011201","Daniel P. Arovas","A. V. Rozhkov, D. P. Arovas, and F. Guinea","Josephson Coupling through a Quantum Dot","9 pages; 3 encapsulated PostScript figures",,"10.1103/PhysRevB.64.233301",,"cond-mat.mes-hall cond-mat.supr-con",,"  We derive, via fourth order perturbation theory, an expression for the
Josephson current through a gated interacting quantum dot. We analyze our
expression for two different models of the superconductor-dot-superconductor
(SDS) system. When the matrix elements connecting dot and leads are featureless
constants, we compute the Josephson coupling J_c as a function of the gate
voltage and Coulomb interaction. In the diffusive dot limit, we compute the
probability distribution P(J_c) of Josephson couplings. In both cases, pi
junction behavior (J_c < 0) is possible, and is not simply dependent on the
parity of the dot occupancy.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 23:24:07 GMT""}]","2009-10-31"
"cond-mat/0011208","Igor V. Gornyi","I.V. Gornyi, A.D. Mirlin, P. Woelfle","Current correlations and quantum localization in 2D disordered systems
  with broken time-reversal invariance","8 pages, 3 figures","Phys. Rev. B 64, 115403 (2001)","10.1103/PhysRevB.64.115403",,"cond-mat.mes-hall cond-mat.dis-nn",,"  We study long-range correlations of equilibrium current densities in a
two-dimensional mesoscopic system with the time reversal invariance broken by a
random or homogeneous magnetic field. Our result is universal, i.e. it does not
depend on the type (random potential or random magnetic field) or correlation
length of disorder. This contradicts recent sigma-model calculations of
Taras-Semchuk and Efetov (TS&E) for the current correlation function, as well
as for the renormalization of the conductivity. We show explicitly that the new
term in the sigma-model derived by TS&E and claimed to lead to delocalization
does not exist. The error in the derivation of TS&E is traced to an incorrect
ultraviolet regularization procedure violating current conservation and gauge
invariance.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 16:14:04 GMT""}]","2007-05-23"
"cond-mat/0011209","A. Venimadhav","A. Venimadhav, I. Chaitanyalakshmi and M.S. Hegde (SSCU, IISc)","Electrical transport properties of RNiO3 (R= Pr, Nd, Sm) Epitaxial Thin
  Films","3 figs",,,,"cond-mat.mtrl-sci cond-mat.str-el",,"  Electrical transport properties of RNiO3 (R= Pr, Nd, Sm) thin films grown by
pulse laser deposition have been studied. RNiO3 films grow in (100) direction
on LaAlO3 (100) substrate. Unlike in polycrystalline solid, PrNiO3 film showed
metallic behavior. The first order metal to insulator transition observed in
polycrystalline solids is suppressed in RNiO3 films. The effect of lattice
strain in the films influensing the transport properties has been studied by
varying the thickness of PrNiO3 film on LaAlO3 and also by growing them on
SrTiO3 and sapphire substrates. Deviation in the transport properties is
explained due to the strain induced growth of the films. Further, we show that
the transport property of LaNiO3 film is also influenced by a similar strain
effect.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 16:34:57 GMT""}]","2007-05-23"
"cond-mat/0011210","Noriko Akutsu","Noriko Akutsu, Yasuhiro Akutsu and Takao Yamamoto","Statistical Mechanics of the Vicinal Surfaces with Adsorption","10 pages, 4 figures, ISSI PDSC-2000, submitted to Surf. Sci. RevTeX
  3.1 preprint style",,"10.1016/S0039-6028(01)01255-9",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  We study the vicinal surface with adsorption below the roughening
temperature, using the restricted solid-on-solid model coupled with the Ising
model. By the product-wavefunction renormalization group method, we calculate
the surface gradient $p$ and the adsorption coverage $\Theta$ as a function of
the Andreev field $\eta$ which makes surface tilt. Combining Monte Carlo
calculations, we show that there emerges effective attraction between the
steps. This attractive interaction leads to instability against step bunching.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 17:13:39 GMT""}]","2009-10-31"
"cond-mat/0011211","Boris Vugmeister","B.E. Vugmeister and H. Rabitz","Comment on: ""Phenomenological model of Dynamic Nonlinear Response in
  Relaxor Ferroelectrics",,,,,"cond-mat",,"  In a recent paper (A.E. Glazounov and A.K. Tagantsev, Phys.Rev. Lett. 85,
2192 (2000)) it has been proposed a phenomenological model of the dynamic
non-linear response in relaxor ferroelectrics based on the averaging of the
Landau-Khalatnikov equation over the distribution of the relaxation times. The
purpose of the present comment is to clarify the physical assumptions involved
in the Glazounov-Tagantsev approach and show that models based on the
Landau-Khalatnikov equation can not describe properly the dynamic response in
relaxor ferroelectrics.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 19:56:48 GMT""}]","2007-05-23"
"cond-mat/0011212","N. Kumar","M. A. H. Ahsan and N. Kumar (Raman Research Institute, Bangalore)","Rotating Bose gas with hard-core repulsion in a quasi-2D harmonic trap:
  vortices in BEC","Revtex, 11 pages, 1 table as ps file, 4 figures as ps files",,"10.1103/PhysRevA.64.013608",,"cond-mat.mes-hall cond-mat.stat-mech",,"  We consider a gas of N(=6, 10, 15) Bose particles with hard-core repulsion,
contained in a quasi-2D harmonic trap and subjected to an overall angular
velocity $\Omega$ about the z-axis. Exact diagonalization of the $n\times n$
many-body Hamiltonian matrix in given subspaces of the total (quantized)
angular momentum L$_{z}$, with $n\sim 10^{5}$(e.g. for L$_{z}$=N=15, n =240782)
was carried out using Davidson's algorithm. The many-body variational ground
state wavefunction, as also the corresponding energy and the reduced
one-particle density-matrix were calculated. With the usual identification of
$\Omega$ as the Lagrange multiplier associated with L$_{z}$ for a rotating
system, the $L_{z}-\Omega$ phase diagram (or the stability line) was determined
that gave a number of critical angular velocities $\Omega_{{\bf c}i},
i=1,2,3,... ,$ at which the ground state angular momentum and the associated
condensate fraction undergo abrupt jumps.
  A number of (total) angular momentum states were found to be stable at
successively higher critical angular velocities $\Omega_{{\bf c}i}, \
i=1,2,3,...$ for a given N. For $L_{z}>N$, the condensate was strongly
depleted. The critical $\Omega_{{\bf c}i}$ values, however, decreased with
increasing interaction strength as well as the particle number, and were
systematically greater than the non-variational Yrast-state values for the
single vortex state with L$_{z}$ =N. We have also observed that the condensate
fraction for the single vortex state (as also for the higher vortex states) did
not change significantly even as the 2-body interaction strength was varied
over several $(\sim 4)$ orders of magnitude in the moderately to the weakly
interacting regime.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 08:36:22 GMT""}]","2009-10-31"
